Interval;Jitter(ms);Test
0.0-10.0;0.020;Apenas túnel
0.0-20.1;0.011;Apenas túnel
0.0-30.1;0.008;Apenas túnel
0.0-40.1;0.011;Apenas túnel
0.0-50.2;0.014;Apenas túnel
0.0-60.3;0.015;Apenas túnel
0.0-70.3;0.008;Apenas túnel
0.0-80.3;0.009;Apenas túnel
0.0-90.4;0.017;Apenas túnel
0.0-100.4;0.011;Apenas túnel
0.0-110.5;0.017;Apenas túnel
0.0-120.5;0.013;Apenas túnel
0.0-130.6;62.513;Apenas túnel
0.0-140.6;0.010;Apenas túnel
0.0-150.7;0.008;Apenas túnel
0.0-160.8;0.008;Apenas túnel
0.0-170.8;0.007;Apenas túnel
0.0-180.9;0.007;Apenas túnel
0.0-190.9;0.010;Apenas túnel
0.0-200.9;0.008;Apenas túnel
0.0-211.0;0.010;Apenas túnel
0.0-221.1;0.005;Apenas túnel
0.0-231.1;0.009;Apenas túnel
0.0-241.2;0.012;Apenas túnel
0.0-251.2;0.009;Apenas túnel
0.0-261.3;0.008;Apenas túnel
0.0-271.3;0.009;Apenas túnel
0.0-281.4;0.011;Apenas túnel
0.0-291.4;0.008;Apenas túnel
0.0-301.5;0.013;Apenas túnel
0.0-10.0;0.075;Fim-a-fim
0.0-22.6;0.110;Fim-a-fim
0.0-35.1;0.062;Fim-a-fim
0.0-47.7;0.058;Fim-a-fim
0.0-60.2;0.093;Fim-a-fim
0.0-72.8;0.071;Fim-a-fim
0.0-85.3;0.079;Fim-a-fim
0.0-97.9;0.058;Fim-a-fim
0.0-110.4;0.093;Fim-a-fim
0.0-123.0;0.063;Fim-a-fim
0.0-135.5;0.081;Fim-a-fim
0.0-148.1;0.077;Fim-a-fim
0.0-160.6;0.062;Fim-a-fim
0.0-173.2;0.079;Fim-a-fim
0.0-185.7;0.079;Fim-a-fim
0.0-198.3;0.058;Fim-a-fim
0.0-210.8;62.572;Fim-a-fim
0.0-223.4;0.078;Fim-a-fim
0.0-236.0;0.059;Fim-a-fim
0.0-248.5;0.066;Fim-a-fim
0.0-261.1;0.072;Fim-a-fim
0.0-273.6;0.057;Fim-a-fim
0.0-286.2;0.071;Fim-a-fim
0.0-298.7;0.065;Fim-a-fim
0.0-311.3;0.083;Fim-a-fim
0.0-323.8;0.071;Fim-a-fim
0.0-336.4;0.068;Fim-a-fim
0.0-348.9;0.060;Fim-a-fim
0.0-361.5;0.076;Fim-a-fim
0.0-374.0;0.081;Fim-a-fim
