Latency(ms);Test
0.926;tunel
0.308;tunel
0.330;tunel
0.320;tunel
0.307;tunel
0.330;tunel
0.262;tunel
0.274;tunel
0.266;tunel
0.327;tunel
0.245;tunel
0.287;tunel
0.288;tunel
0.288;tunel
0.212;tunel
0.259;tunel
0.279;tunel
0.253;tunel
0.258;tunel
0.325;tunel
0.326;tunel
0.270;tunel
0.272;tunel
0.276;tunel
0.273;tunel
0.289;tunel
0.233;tunel
0.233;tunel
0.232;tunel
0.232;tunel
1.54;fim-a-fim
1.51;fim-a-fim
1.43;fim-a-fim
1.64;fim-a-fim
1.50;fim-a-fim
1.49;fim-a-fim
1.42;fim-a-fim
1.45;fim-a-fim
1.49;fim-a-fim
1.32;fim-a-fim
1.55;fim-a-fim
1.36;fim-a-fim
1.38;fim-a-fim
1.50;fim-a-fim
1.51;fim-a-fim
1.57;fim-a-fim
1.47;fim-a-fim
1.47;fim-a-fim
1.39;fim-a-fim
1.42;fim-a-fim
1.40;fim-a-fim
1.60;fim-a-fim
1.48;fim-a-fim
1.71;fim-a-fim
1.61;fim-a-fim
1.49;fim-a-fim
1.30;fim-a-fim
1.53;fim-a-fim
1.30;fim-a-fim
1.43;fim-a-fim



