Interval(sec);Bandwidth(Mbits/sec);Test
0.0-16.0;152;sem SFC
0.0-10.0;858;sem SFC
0.0-22.7;382;sem SFC
0.0-10.0;879;sem SFC
0.0-10.0;883;sem SFC
0.0-10.0;863;sem SFC
0.0-10.0;879;sem SFC
0.0-10.0;879;sem SFC
0.0-10.0;876;sem SFC
0.0-14.9;505;sem SFC
0.0-10.0;875;sem SFC
0.0-10.0;875;sem SFC
0.0-10.0;870;sem SFC
0.0-10.0;876;sem SFC
0.0-10.0;874;sem SFC
0.0-10.0;874;sem SFC
0.0-10.0;749;sem SFC
0.0-10.0;879;sem SFC
0.0-10.0;875;sem SFC
0.0-10.0;871;sem SFC
0.0-10.0;844;sem SFC
0.0-10.0;864;sem SFC
0.0-10.0;866;sem SFC
0.0-10.0;823;sem SFC
0.0-10.0;879;sem SFC
0.0-10.0;863;sem SFC
0.0-10.0;880;sem SFC
0.0-10.0;830;sem SFC
0.0-10.0;869;sem SFC
0.0-10.0;873;sem SFC
