Interval(sec);Bandwidth(Mbits/sec);Test
0.0-10.0;775;Com SFC
0.0-10.0;774;Com SFC
0.0-10.0;774;Com SFC
0.0-10.0;771;Com SFC
0.0-10.0;774;Com SFC
0.0-10.0;773;Com SFC
0.0-10.0;771;Com SFC
0.0-10.0;771;Com SFC
0.0-10.0;773;Com SFC
0.0-10.0;774;Com SFC
0.0-10.0;775;Com SFC
0.0-10.0;719;Com SFC
0.0-10.0;725;Com SFC
0.0-10.0;764;Com SFC
0.0-10.0;773;Com SFC
0.0-10.0;773;Com SFC
0.0-10.0;776;Com SFC
0.0-10.0;769;Com SFC
0.0-12.7;401;Com SFC
0.0-10.0;774;Com SFC
0.0-10.0;773;Com SFC
0.0-10.0;773;Com SFC
0.0-10.0;774;Com SFC
0.0-10.0;774;Com SFC
0.0-10.0;775;Com SFC
0.0-10.0;274;Com SFC
0.0-10.0;778;Com SFC
0.0-10.0;770;Com SFC
0.0-10.0;771;Com SFC
0.0-10.0;778;Com SFC
