Amostra;Transfer;Bandwidth(Mbits/sec);Cenário
1;925 MBytes;775;Com SFC
2;923 MBytes;774;Com SFC
3;924 MBytes;774;Com SFC
4;920 MBytes;771;Com SFC
5;924 MBytes;774;Com SFC
6;922 MBytes;773;Com SFC
7;920 MBytes;771;Com SFC
8;920 MBytes;771;Com SFC
9;922 MBytes;773;Com SFC
10;924 MBytes;774;Com SFC
11;925 MBytes;775;Com SFC
12;858 MBytes;719;Com SFC
13;865 MBytes;725;Com SFC
14;912 MBytes;764;Com SFC
15;922 MBytes;773;Com SFC
16;923 MBytes;773;Com SFC
17;926 MBytes;776;Com SFC
18;918 MBytes;769;Com SFC
19;608 MBytes;773;Com SFC
20;924 MBytes;774;Com SFC
21;923 MBytes;773;Com SFC
22;923 MBytes;773;Com SFC
23;923 MBytes;774;Com SFC
24;924 MBytes;774;Com SFC
25;925 MBytes;775;Com SFC
26;327 MBytes;770;Com SFC
27;928 MBytes;778;Com SFC
28;919 MBytes;770;Com SFC
29;921 MBytes;771;Com SFC
30;928 MBytes;778;Com SFC
1;291;858;sem SFC
2;1.00;858;sem SFC
3;1.01;883;sem SFC
4;1.02;879;sem SFC
5;1.03;883;sem SFC
6;1.01;863;sem SFC
7;1.02;879;sem SFC
8;1.03;879;sem SFC
9;1.02;876;sem SFC
10;900;875;sem SFC
11;1.02;875;sem SFC
12;1.02;875;sem SFC
13;1.01;870;sem SFC
14;1.02;876;sem SFC
15;1.02;874;sem SFC
16;1.02;874;sem SFC
17;895;749;sem SFC
18;1.03;879;sem SFC
19;1.02;875;sem SFC
20;1.02;871;sem SFC
21;1007;844;sem SFC
22;1.01;864;sem SFC
23;1.01;866;sem SFC
24;984;823;sem SFC
25;1.03;879;sem SFC
26;1.01;863;sem SFC
27;1.03;880;sem SFC
28;991;830;sem SFC
29;1.01;869;sem SFC
30;1.02;873;sem SFC
